类别,公司名称,公司位置,项目名字,关键词,文件路径,下标位置
招标公告,宜昌行胜建设投资有限公司,湖北省,宜昌市下牢溪河道综合整治工程项目下姜桥加固工程方案及施工图设计招标公告,综合 整治 加固 工程 有限公司 湖北省,data/bidding/t_model_aa,72
中标公告,中国建筑第七工程局有限公司,河南省,号许昌市教育局,职教 园区 建设 教育局 河南省,data/bidding/t_model_aa,74
中标公告,人河南省鑫属实业有限公司,河南省,兰考县环保局大气自动监测站点搬迁及建设项目结果公示,大气 自动 监测 河南省,data/bidding/t_model_aa,75
中标公告,中科三清科技有限公司,河南省,安阳市环境保护监测中心站预测预报系统及配套设施项目,配套 设施 站 河南省,data/bidding/t_model_aa,76
中标公告,洛阳市恒凯信息科技有限公司,河南省,洛阳市商务局洛阳市城市电商物流快递公共信息服务平台成交公告,服务平台 快递 商务局 河南省,data/bidding/t_model_aa,77
中标公告,甘肃海天建设工程造价咨询有限公司,青海省,果洛州民族高级中学室外配套设施改造项目,配套 设施 看台 教育局 青海省,data/bidding/t_model_aa,80
中标公告,盐城市诺捷电子有限公司,江苏省,盐城市区交通违法行为未系安全带等抓拍系统采购项目成交结果公告,市区 交通 公安局 江苏省,data/bidding/t_model_aa,83
中标公告,中交公路规划设计院有限公司,广东省,智能制造产业园配套项目,智能 制造 产业园 广东省,data/bidding/t_model_aa,84
中标公告,珠海市共作电子有限公司,广东省,网上询价结果公告计算机复合机打印机碎纸机高拍仪多功能一体机相机网上询价采购,相机 高 拍仪 广东省,data/bidding/t_model_aa,87
中标公告,江苏东大建设集团有限公司,江苏省,句容市下蜀镇祝里村高标准农田建设土地整治项目计划和预算,土地 整治 计 整治 工程 人民政府 江苏省,data/bidding/t_model_aa,90
中标公告,江苏华夏灯业制造有限公司,江苏省,响水沿海经济开发区市政道路亮化水利供水工程等基础设施建设项目,供水 工程 市政道路 有限公司 江苏省,data/bidding/t_model_aa,93
中标公告,北斗星家具北京有限公司,北京市,年圆明园长春园部景区保洁社会化项目,保洁 装修 改造 工程 办事处 北京市,data/bidding/t_model_aa,95
招标公告,包钢设备动力部,全国,包钢巴润矿业分公司康明斯发动机技术服务支持单一来源采购公示,包钢 发动机 技术 服务 部 全国,data/bidding/t_model_aa,98
中标公告,江苏人民出版社有限公司,江苏省,江苏省中小学文明交通教育读本,读本 印制 宣传部 江苏省,data/bidding/t_model_aa,100
招标公告,鹤壁市山城区石林镇卫生院,河南省,鹤壁市山城区石林镇卫生院医疗设备采购项目竞争性谈判公告,医疗 生化 分析仪 卫生院 河南省,data/bidding/t_model_aa,101
招标公告,上海铁路局上海铁路枢纽工程建设指挥部,江苏省,上海动车段高级修场配套能力改造工程施工总价承包,修场 改造 工程施工 指挥部 江苏省,data/bidding/t_model_aa,102
中标公告,江苏宏嘉工程项目管理有限公司,江苏省,高新开发区泰山片区石砌沟整治工程监理,整治 工程 监理 公司 江苏省,data/bidding/t_model_aa,103
中标公告,江苏金丰华工程监理咨询有限公司,江苏省,高新开发区朱家山河高科大桥,整治 工程 监理 污水 公司 江苏省,data/bidding/t_model_aa,105
中标公告,江苏省华厦工程项目管理有限公司,江苏省,六合分中心六合区新城综合服务中心改造项目监理,中心 改造 综合 服务 有限公司 江苏省,data/bidding/t_model_aa,107
中标公告,江苏星星工程建设监理有限公司,江苏省,江宁分中心海慧路等六条道路工程项目海慧路小球地块内道路中航路泥塘路外港河路龙济路六条道路监理,事务所 道路 工程 有限公司 江苏省,data/bidding/t_model_aa,108
招标公告,抚顺市华安建设发展有限公司,辽宁省,新抚区粮栈街华安小区建设项目,小区 建设 粮栈 有限公司 辽宁省,data/bidding/t_model_aa,109
招标公告,南京新港东区建设发展有限公司,江苏省,新港开发区开发区广志路白象路,公路 三环 景观 绿化 有限公司 江苏省,data/bidding/t_model_aa,111
招标公告,南京市江宁区麒麟街道锁石社区居民委员会,江苏省,江宁分中心麒麟街道锁石社区全域旅游建设工程施工,锁石 建设 工程施工 委员会 江苏省,data/bidding/t_model_aa,112
招标公告,江苏省六合高级中学,江苏省,六合分中心江苏省六合高级中学配电房及电力设施改造项目配电房,电力设施 电 安装 高级中学 江苏省,data/bidding/t_model_aa,113
中标公告,湖北三宁化工股份有限公司,全国,广西同泽工程项目管理有限责任公司关于,复合肥 化肥 农业局 全国,data/bidding/t_model_aa,114
中标公告,重庆比特源科技有限公司,全国,北京诚佳信工程管理有限公司中等职业学校示范特色专业及实训基地建设课程建设及配套资源开发项目项目编号,基地 建设 资源 开发 学校 全国,data/bidding/t_model_aa,115
中标公告,广西永泰建设有限公司,全国,广东宏茂建设管理有限公司那坡县,道路 硬化 工程 局 全国,data/bidding/t_model_aa,116
招标公告,广西壮族自治区产品质量检验研究院,全国,中国质量认证中心东盟质量检测认证研究中心及中国方圆,质量 认证 工程施工 监理 研究院 全国,data/bidding/t_model_aa,117
中标公告,中国石化销售有限公司,广东省,广汽集团汽车工程研究院,配送 广汽 集团 研究院 广东省,data/bidding/t_model_aa,121
中标公告,广州金润文化传播有限公司,广东省,广交长运冷链物流中心招商宣传片制作项目招标结果公告,招商 宣传片 制作 冷链 公司 广东省,data/bidding/t_model_aa,122
中标公告,滁州新华书店有限公司,安徽省,滁州市中级人民法院库藏档案数字化扫描服务项目,数字化 扫描 服务 人民法院 安徽省,data/bidding/t_model_aa,123
中标公告,广西秀博科技股份有限公司,全国,广西海特建设工程项目咨询管理有限公司桂平市,人工授精 精液 兽医局 全国,data/bidding/t_model_aa,129
中标公告,广西南宁人防建设监理有限责任公司,全国,广西建通工程咨询有限责任公司崇左市城区棚户区改造项目一期,人防 工程 棚户区 改造 有限公司 全国,data/bidding/t_model_aa,130
中标公告,桂林建昌建设有限公司,全国,广西壮族自治区建设工程机电设备招标中心关于桂林市翠竹小学校园改造工程,改造 工程 小学 全国,data/bidding/t_model_aa,131
中标公告,广西嘉宁建筑工程有限公司,全国,广西北部湾宏亚建设管理有限公司玉林市福绵区福绵镇第二初级中学学生食堂楼建设工程中标公告,建设工程 楼 建设 初级中学 全国,data/bidding/t_model_aa,132
中标公告,江苏富祥科教设备有限公司,全国,广西建澜工程招标有限公司,仪器设备 采购 教育局 全国,data/bidding/t_model_aa,133
中标公告,广西鑫运建筑工程有限公司,全国,广西壮族自治区建设工程机电设备招标中心关于博白县英桥镇新圩村小学教学综合楼中标候选人公示,教学 综合楼 政务 服务 小学 全国,data/bidding/t_model_aa,134
中标公告,广西新缘路建工程有限公司,全国,广西建通工程咨询有限责任公司西林县那劳镇污水处理厂建设工程项目招标编号,建设工程 污水 管道 水厂 全国,data/bidding/t_model_aa,137
中标公告,成都炬创科技有限公司,全国,广西同泽工程项目管理有限责任公司柳州公交运营安全应急指挥管理系统,管理系统 安全 应急 指挥 管 有限公司 全国,data/bidding/t_model_aa,140
中标公告,南宁市大裕科技有限公司,全国,广西科文招标有限公司多功能微波治疗仪采购项目编号,微波 治疗 卫生院 全国,data/bidding/t_model_aa,142
中标公告,北京星德威琴行有限公司,全国,广西建信建设项目管理有限公司关于临桂新校区音乐厅钢琴演奏实训室采购,三角钢琴 实训室 专科学校 全国,data/bidding/t_model_aa,144
中标公告,广西方宙工程咨询有限公司,全国,广西机电设备招标有限公司关于屯级道路项目及村屯绿化项目监理服务编号,绿化 监理 服务 办公室 全国,data/bidding/t_model_aa,146
中标公告,广西日立广日电梯空调工程有限公司,全国,广西建隆工程咨询有限公司危旧房改造工程,危旧房 改造 不锈钢 林场 全国,data/bidding/t_model_aa,147
中标公告,玉林市第五建筑安装工程公司,全国,广西鸿业建设工程管理咨询有限公司新桥镇新仓村野鸭塘灌溉水渠渠道三面光防渗建设项目编号,防渗 灌溉 管理站 全国,data/bidding/t_model_aa,148
中标公告,广西诚航建设工程有限公司,全国,广西科联招标中心西林县烈士陵园维修改造工程,烈士陵园 维修 改造 工程 民政局 全国,data/bidding/t_model_aa,150
中标公告,广西益生医疗科技有限责任公司,全国,广西建通工程咨询有限责任公司关于医疗设备采购项目,医疗 设备 院 全国,data/bidding/t_model_aa,151
招标公告,灵山县市政管理局,全国,灵山县江南路主要交叉路口交通整治项目招标控制价,控制 价 交通 整治 管理局 全国,data/bidding/t_model_aa,154
中标公告,吉林金谷城市规划设计有限公司,吉林省,吉林经济技术开发区经济发展局吉林市产城融合示范区实施方案招标中标公示,融 实施方案 发展局 吉林省,data/bidding/t_model_aa,155
中标公告,北京福霖博益科技有限公司,全国,神华包头能源有限责任公司李家壕煤矿和万利一矿,矿用 物资 煤矿 公司 全国,data/bidding/t_model_aa,160
中标公告,山西德泰兴业科贸有限公司,山西省,山西省疾病预防控制中心布病诊断试剂医用冰箱及设备采购合同公示,布病 诊断 试剂 医用 冰箱 控制中心 山西省,data/bidding/t_model_aa,162
中标公告,山西美轮家具销售有限公司,山西省,山西省疾病预防控制中心铁皮柜货架及办公家具采购合同公示,货架 办公 家具 采购 控制中心 山西省,data/bidding/t_model_aa,163
中标公告,太原云帆伟业科技有限公司,山西省,山西省人事考试中心公务员录用电子化考试设备合同公示,设备 采购 中心 山西省,data/bidding/t_model_aa,164
中标公告,山西晋伟天业电器设备有限公司,山西省,山西省人事考试中心自动化办公及网络维护,网络 维护 空调 中心 山西省,data/bidding/t_model_aa,165
中标公告,祁县逸阳物业管理有限公司,山西省,公司机关保洁及公共设施维修合同,保洁 物业管理 公司 山西省,data/bidding/t_model_aa,167
中标公告,太原鹏跃电子科技有限公司,山西省,太原科技大学实验设备采购,实验 设备 采购 大学 山西省,data/bidding/t_model_aa,168
中标公告,山西佳通路桥建养有限公司,山西省,祁临高速公路隧道保洁合同,高速公路 隧道 公司 山西省,data/bidding/t_model_aa,169
中标公告,上海中信信息发展股份有限公司,山西省,省档案局档案整理及数字化质量检查项目合同,数字化 质量检查 档案局 山西省,data/bidding/t_model_aa,175
中标公告,山西欧格瑞朗工贸有限公司,山西省,更换高速三支队机关食堂及一二五大队门窗户项目,窗户 食堂 支队 山西省,data/bidding/t_model_aa,176
中标公告,山西省第三地质工程勘察院,山西省,山西省吕梁高速公路有限公司岢临高速全线检测服务合同公示,检测 服务 地质 工程 有限公司 山西省,data/bidding/t_model_aa,178
中标公告,山西晋蓝节能科技有限公司,山西省,山西太旧高速公路管理有限责任公司五盂高速新开服务区食品加工设备购置合同公示,食品 加工 设备 购置 公司 山西省,data/bidding/t_model_aa,180
中标公告,西安金鹏照明有限责任公司,山西省,平陆县圣人大街原政府门前法桐树流星雨灯具改造工程合同,灯具 改造 工程 管理局 山西省,data/bidding/t_model_aa,183
招标公告,屯留县残疾人联合会,山西省,屯留县残疾人联合会慰问品询价公告,大米 油升桶 联合会 山西省,data/bidding/t_model_aa,185
招标公告,平遥县老年福利综合服务中心,山西省,平遥县老年福利综合服务中心专用设备采购谈判公告,老年 福利 日用 装置 服务中心 山西省,data/bidding/t_model_aa,186
招标公告,长治市社会福利院,山西省,长治市社会福利院长治市社会福利院新建老年福利服务中心社会养老服务楼,老年 福利 养老 服务 楼 福利院 山西省,data/bidding/t_model_aa,187
招标公告,山西医科大学,山西省,山西医科大学实验室购置项目招标公告,实验室 穿刺 医科大学 山西省,data/bidding/t_model_aa,188
招标公告,方山县检察院,山西省,方山县检察院方山县检察院办案设备项目询价公告,办案 设备 电脑 检察院 山西省,data/bidding/t_model_aa,190
招标公告,壶关县树人学校,山西省,壶关县树人学校维修改造工程谈判公告,维修 改造 工程 学校 山西省,data/bidding/t_model_aa,191
招标公告,古县人民武装部,山西省,古县人民武装部空调设备项目谈判公告,人民武装 部 空调设备 部 山西省,data/bidding/t_model_aa,192
招标公告,新绛县公安局,山西省,新绛县公安局业务用房多功能会议室装饰工程及业务用房办案区装饰工程谈判公告,会议室 装饰 工程 业务 用房 公安局 山西省,data/bidding/t_model_aa,195
招标公告,大同市南郊区文化局,山西省,大同市南郊区文化局拼装式游泳池采购招标公告,游泳池 质量 文化局 山西省,data/bidding/t_model_aa,196
招标公告,山西省桑干河杨树丰产林实验局落阵营林场,山西省,山西省桑干河杨树丰产林实验局落阵营林场,双 保管 护 工程 阵营 林场 林场 山西省,data/bidding/t_model_aa,197
中标公告,北京康德宏贸易发展有限公司,山西省,山西医科大学医疗设备采购项目中标公告,医疗 设备 采购 医科大学 山西省,data/bidding/t_model_aa,200
招标公告,天津理工大学,天津市,天津理工大学氢气发生器等设备,氢气 教学 专用 仪器 理工大学 天津市,data/bidding/t_model_aa,202
招标公告,天津财经大学,天津市,天津财经大学校内项目,多媒体 黑板 设备 财经大学 天津市,data/bidding/t_model_aa,203
中标公告,杉杉品牌运营股份有限公司,山东省,日照经济技术开发区综合行政执法局执法服装采购项目中标公告,执法 服装 执法局 山东省,data/bidding/t_model_aa,204
中标公告,日照捷康医疗器械有限公司,山东省,日照市岚山区妇幼保健院产后康复仪胎心监护仪电脑等设备采购项目成交公告,电脑设备 采购 监护仪 院 山东省,data/bidding/t_model_aa,205
中标公告,天津市美都大酒店,天津市,三四类会议会议服务合同公告,会议 服务 研究所 天津市,data/bidding/t_model_aa,206
